Test Case,Array Size,Kth Smallest Element Position,Runtime
7183,950,130,0.000011
7186,24993,145,0.000019
7187,21113,598,0.000019
7196,623,123,0.000009
7202,14748,61,0.000019
7204,11801,302,0.000019
7206,10955,496,0.000020
7209,3509,225,0.000018
7216,4409,511,0.000018
7219,25994,594,0.000019
7221,1846,920,0.000016
7226,31652,806,0.000020
7232,884,55,0.000010
7244,666,353,0.000008
7246,1464,577,0.000015
7256,223,817,0.000003
7258,45,439,0.000001
7263,12648,91,0.000018
7264,22554,716,0.000020
7267,1439,272,0.000014
7271,22916,226,0.000019
7273,2490,418,0.000017
7274,10647,802,0.000019
7288,6301,160,0.000017
7297,19081,373,0.000018
7302,8864,159,0.000019
7306,7372,346,0.000017
7308,2925,952,0.000017
7311,281,778,0.000004
7319,24744,836,0.000019
7323,5622,601,0.000018
7329,1624,512,0.000015
7332,6968,828,0.000021
7334,14397,469,0.000021
7342,12352,846,0.000018
7345,431,964,0.000008
7346,12360,848,0.000023
7369,12885,451,0.000019
7371,89,857,0.000002
7388,2511,601,0.000017
7403,3444,676,0.000017
7405,24938,934,0.000019
7410,14338,552,0.000019
7418,5612,331,0.000019
7423,10963,896,0.000019
7431,6629,213,0.000020
7434,10585,611,0.000019
7435,20288,638,0.000018
7457,13538,444,0.000020
7475,13081,63,0.000019
7487,3424,927,0.000019
7489,24462,583,0.000018
7494,2838,574,0.000016
7497,611,123,0.000007
7504,3310,365,0.000032
7521,808,658,0.000010
7527,555,474,0.000008
7531,18540,209,0.000022
7541,13181,783,0.000018
7543,19782,380,0.000019
7550,2588,63,0.000017
7553,1090,622,0.000013
7555,28932,751,0.000019
7559,2429,297,0.000017
7562,23832,840,0.000018
7565,169,874,0.000003
7567,23954,674,0.000020
7578,12292,164,0.000019
7591,14507,903,0.000019
7592,306,946,0.000005
7593,3014,548,0.000017
7598,12454,173,0.000020
7606,15959,934,0.000019
7611,5302,234,0.000018
7616,6962,196,0.000018
7627,7056,370,0.000018
7635,19370,796,0.000018
7637,240,410,0.000003
7641,9773,185,0.000023
7666,1002,413,0.000012
7667,17001,747,0.000020
7668,19779,190,0.000019
7673,481,277,0.000007
7679,21,451,0.000000
7706,30698,866,0.000019
7708,31248,628,0.000024
7721,100,496,0.000002
7723,2356,621,0.000023
7733,9878,654,0.000019
7734,1138,169,0.000013
7751,7462,522,0.000019
7760,14886,901,0.000019
7773,4053,316,0.000019
7778,2404,728,0.000022
7788,2982,890,0.000020
7797,12117,974,0.000019
7803,3416,742,0.000035
7810,17492,879,0.000019
7823,4334,529,0.000018
7824,12667,412,0.000018
7830,929,379,0.000011
7835,4349,482,0.000018
7845,16372,862,0.000018
7855,812,69,0.000010
7880,3205,813,0.000017
7884,2395,260,0.000021
7886,1235,285,0.000015
7892,4699,218,0.000018
7898,15242,10,0.000019
7909,5780,900,0.000019
7913,3654,14,0.000019
